Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0wH7C2bCuWbvO9Kv2v1ipd,"Critical Hit","Critical Hit","MDK",2019-03-15,233557,26,false,qv239km8gvh4iu36a88hqmdvg,2022-12-18T08:30:56Z,"dubstep","MDK",0.619,0.917,11,-5.251,0,0.0975,0.000505,0.115,0.342,0.558,129.996,4
spotify:track:09RPi5cAGBpplJe5tKpQzF,"Hellfire","Hellfire","MDK",2018-10-30,269550,17,false,qv239km8gvh4iu36a88hqmdvg,2022-12-18T10:02:12Z,"dubstep","MDK",0.599,0.919,1,-7.545,1,0.0679,0.000055,0.647,0.346,0.529,127.981,4
spotify:track:1KXMSxQu9VNQnxisK2dEMF,"Mega","Mega","MDK",2014-05-05,224314,8,false,qv239km8gvh4iu36a88hqmdvg,2022-12-18T09:57:50Z,"dubstep","MdK",0.618,0.745,0,-5.578,0,0.0438,0.00313,0.0443,0.19,0.224,122.985,4
spotify:track:5vJ0mcS84Pw4sK0iCcB2Kb,"complextro isn't fucking geometry dash music","berdlycore chapter zero","xaev",2022-07-28,132155,22,true,qv239km8gvh4iu36a88hqmdvg,2025-05-07T05:28:41Z,"plunderphonics,hyperpop,breakcore","www.unironical.ly",0.675,0.891,1,0.488,1,0.266,0.016,0.0162,0.135,0.668,124.877,4
spotify:track:3lIBGoKHV9mhuvjGDyzk3T,"Space Invaders","Space Invaders","Teminite;MDK",2019-05-24,348164,0,false,qv239km8gvh4iu36a88hqmdvg,2022-11-09T08:55:36Z,"dubstep,deathstep,drumstep","Teminite",0.58,0.952,8,-2.286,1,0.0806,0.00021,0.828,0.325,0.694,127.991,4
spotify:track:27G28GFDRZWI0jlUiL18VX,"Arcade Dwellers","Arcade Dwellers","Chime;MDK",2021-12-03,260625,15,false,qv239km8gvh4iu36a88hqmdvg,2022-12-18T10:05:03Z,"dubstep,riddim,melodic bass,bass music,deathstep,drumstep,future bass","NCS",0.725,0.94,2,-3.456,0,0.207,0.00261,0.0329,0.341,0.54,128.019,4
spotify:track:639aSLhFNmshG19PRIJbXC,"Final Smash","Astral Badass","Neowing;MDK",2017-12-02,206557,19,false,qv239km8gvh4iu36a88hqmdvg,2022-12-18T08:31:21Z,"dubstep","MDK",0.676,0.922,7,-3.242,0,0.0581,0.000227,0.881,0.192,0.65,128.004,4
spotify:track:7LPIkXUUDzbjZnWytGz191,"Limit Break","Limit Break","Sterrezo",2020-11-20,234290,0,false,qv239km8gvh4iu36a88hqmdvg,2022-11-10T17:53:01Z,"","Sterrezo",0.642,0.911,6,-7.641,0,0.0744,0.00017,0.0543,0.0955,0.178,126.03,4
spotify:track:3PMF86uQ75rMg0R543NUoj,"Infinite Power","Infinite Power","Sterrezo",2019-06-21,219223,0,false,qv239km8gvh4iu36a88hqmdvg,2022-12-18T10:10:42Z,"","Sterrezo",0.644,0.978,5,-4.591,0,0.0777,0.00388,0.57,0.317,0.599,127.055,4
spotify:track:1aQTdrdFmGoqTCB2bjaXjL,"Dungeon Crawler","Dungeon Crawler","Sterrezo",2018-07-20,234335,0,false,qv239km8gvh4iu36a88hqmdvg,2022-11-09T14:10:37Z,"","Sterrezo",0.669,0.938,7,-3.497,0,0.159,0.000169,0.44,0.353,0.513,127.046,4
spotify:track:08n1yBGpX72PHyw4cFwK4S,"Time Travel","Time Travel","Sterrezo;Retrograde",2020-04-17,210913,0,false,qv239km8gvh4iu36a88hqmdvg,2022-11-09T08:54:57Z,"","Retrograde & Sterrezo",0.639,0.955,7,-4.146,0,0.176,0.0109,0.0819,0.0648,0.411,128.011,4
spotify:track:17yziMTOOl5rVzFpG68eJ7,"Pixel Perfect","Pixel Perfect","Retrograde",2018-05-01,239426,13,false,qv239km8gvh4iu36a88hqmdvg,2022-11-09T10:14:04Z,"","Complexity",0.599,0.852,6,-4.113,1,0.169,0.0116,0.00381,0.0986,0.569,128.098,4
spotify:track:1jL5Drxn2ci87BJjG1AJT8,"Nonstop","Nonstop","Full Mana",2021-01-15,212578,0,false,qv239km8gvh4iu36a88hqmdvg,2022-11-09T10:13:20Z,"","Metanoia Music",0.783,0.875,1,-3.731,1,0.103,0.0129,0.0985,0.126,0.639,128.052,4
spotify:track:5a4dD0WlmiTqjCPObRtel7,"Jetpack Superstar - Sterrezo Remix","Jetpack Superstar: The Remixes","Full Mana;Sterrezo",2022-04-30,223593,3,false,qv239km8gvh4iu36a88hqmdvg,2023-06-04T05:14:30Z,"","3538678 Records DK2",0.641,0.97,10,-4.51,1,0.343,0.0772,0.000178,0.129,0.414,128.004,3
spotify:track:0QehLEIYLFvD5LGI763KRP,"I Can Show You","I Can Show You","Eccentric",2019-03-02,282840,17,false,qv239km8gvh4iu36a88hqmdvg,2022-12-18T09:40:33Z,"bass music,melodic bass,dubstep","Argofox",0.688,0.82,9,-6.234,1,0.212,0.234,0,0.115,0.629,125.018,4
spotify:track:45mhyQpVSV3zjM20BMxSpe,"Odyssey","Odyssey","Eccentric",2020-06-06,260642,6,false,qv239km8gvh4iu36a88hqmdvg,2022-12-18T09:41:42Z,"bass music,melodic bass,dubstep","Argofox",0.488,0.615,11,-7.445,1,0.0575,0.013,0.000346,0.319,0.306,122.653,4
spotify:track:5psFWz2RirXKiuKLoDMwNj,"Lost Without You","Lost Without You","Eccentric;Yeeflex",2019-10-12,250625,6,false,qv239km8gvh4iu36a88hqmdvg,2022-12-18T09:41:15Z,"bass music,melodic bass,dubstep","Argofox",0.71,0.915,4,-4.725,0,0.104,0.000162,0.00403,0.379,0.384,127.021,4
spotify:track:1zsZzFgu8uM9OfdpNIyykn,"B There 4 U","B There 4 U","Eccentric",2018-10-30,248684,5,false,qv239km8gvh4iu36a88hqmdvg,2022-11-10T11:51:55Z,"bass music,melodic bass,dubstep","CyberPixl Records",0.694,0.929,5,-5.868,1,0.281,0.18,0.000181,0.133,0.376,125.011,4
spotify:track:5tLDyfKdJZNuyobYcQQEWJ,"Truecolor Alchemist","Truecolor Alchemist","Fadex",2015-09-18,277529,0,false,qv239km8gvh4iu36a88hqmdvg,2022-11-09T08:16:10Z,"dubstep","JompaMusic Records",0.626,0.826,5,-4.477,0,0.0803,0.0224,0.138,0.0531,0.189,128.178,4
spotify:track:67d8vQhwyFC6UIVuAXGTNG,"Vivant","Vivant","Fadex",2016-01-26,255014,0,false,qv239km8gvh4iu36a88hqmdvg,2022-11-09T08:49:47Z,"dubstep","JompaMusic Records",0.526,0.889,2,-2.638,1,0.066,0.0109,0.0226,0.131,0.0499,128.122,4
spotify:track:0QWG1EI0Oevf27JgZ5v42C,"Mii Channel","Mii Channel","VGR",2017-12-10,125629,46,false,qv239km8gvh4iu36a88hqmdvg,2022-12-23T07:31:19Z,"","VGR",0.709,0.387,9,-7.926,1,0.0521,0.000993,0.45,0.279,0.532,128.107,4
