Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"ཬɷԾㅍ ꉺლ༽༼இ•̛)ྀ◞ ༎ຶ ლ༽இ•̛)ྀ◞☼⃝◞⊖◟☼⃝ ◉፨∷▲∵⣎⡇ ⃝͢ oOo▲༎ຶ ༽ৣৢ؞ৢ؞ؙؖ⁽⁾ا⦁⁾⁽ؙۜؖء؞ૣ࿆˜☼⃝◞⊖◟☼⃝ ◉፨∷▲∵⣎⡇ ⃝͢ oOo▲","⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ","ཬɷԾㅍ ꉺლ༽༼இ•̛)ྀ◞ ༎ຶ ლ༽இ•̛)ྀ◞☼⃝◞⊖◟☼⃝ ◉፨∷▲∵⣎⡇ ⃝͢ oOo▲༎ຶ ༽ৣৢ؞ৢ؞ؙؖ⁽⁾ا⦁⁾⁽ؙۜؖء؞ૣ࿆˜☼⃝◞⊖◟☼⃝ ◉፨∷▲∵⣎⡇ ⃝͢ oOo▲ - Single","Electronic Daily","Playlist","FRIDO2513579","1843094016"
"Cross Passage","Wata Igarashi & Polygonia","Cross Passage - EP","Electronic Daily","Playlist","GX9SP2500005","1829400902"
"Momentary Phase Transition (DJ - Kicks)","Eris Drew","DJ - Kicks: Eris Drew - Single","Electronic Daily","Playlist","DEG932504164","1839277316"
"Houzz 14","µ-Ziq","Houzz 14 - Single","Electronic Daily","Playlist","DEG932504289","1832701830"
"Rapture in Blue (Midnight Version)","Daniel Avery & Cecile Believe","Rapture in Blue / Greasy off the Racing Line (Midnight Versions) - Single","Electronic Daily","Playlist","GBCEL2500421","1838490175"
"Rabbit Hole (feat. Monstera Black)","Blawan","SickElixir","Electronic Daily","Playlist","GBBKS2500102","1827977124"
"Free Your Mind","Paul St. Hilaire & Batu","W / The Producers","Electronic Daily","Playlist","BEN582500583","1830970570"
"booboo2","Yaeji, underscores & Aliyah's Interlude","booboo2 - Single","Electronic Daily","Playlist","GBBKS2500566","1836214555"
"Pandora's Box (feat. Alexis Taylor)","Superpitcher","Pandora's Box (feat. Alexis Taylor) - Single","Electronic Daily","Playlist","DEU672501219","1838487423"
"Maia Maia","Nia Archives & CLIPZ","Maia Maia - Single","Electronic Daily","Playlist","USA2P2538775","1830574804"
"Blood Lily","Olof Dreijer","Blood Lily - Single","Electronic Daily","Playlist","NLTH62500069","1832162594"
"play it again","Joy Orbison","play it again - Single","Electronic Daily","Playlist","GBBKS2500561","1834119506"
"Charades","Tim Reaper, Mantra & Decibella","Charades - Single","Electronic Daily","Playlist","GBEXH2500141","1834437162"
"NOS","Blawan","SickElixir","Electronic Daily","Playlist","GBBKS2500100","1827977109"
"Victory Lap Five","Fred again.., Skepta, Plaqueboymax, Denzel Curry, Hanumankind, That Mexican OT, D Double E & LYNY","Victory Lap Five - Single","Electronic Daily","Playlist","GBAHS2500690","1824687000"
"Heartbreaker (SHERELLE's Bed Shaking with Metronomy Remix)","Metronomy","Heartbreaker (SHERELLE's Bed Shaking with Metronomy Remix) - Single","Electronic Daily","Playlist","GBMVH2500750","1829715288"
"If We Ever","Overmono & High Contrast","If We Ever - Single","Electronic Daily","Playlist","GBBKS2500446","1831209964"
"Panorama X-Press","Gui Boratto","Panorama X-Press - Single","Electronic Daily","Playlist","DEU672501015","1829745727"
"Different (SBTRKT Sirens Remix)","Barry Can't Swim","Different (SBTRKT Sirens Remix) - Single","Electronic Daily","Playlist","GBCFB2500376","1822244325"
"SPACE INVADER","KAYTRANADA","AIN'T NO DAMN WAY!","Electronic Daily","Playlist","USRC12501267","1832510566"
"The Man Who Began To Suspect He Was Made Of Glass","Kloke","Lucidity","Electronic Daily","Playlist","NZSU12500044","1822979393"
"Cry Cry Cry (Tsu Nami Remix)","KUČKA","Can You Hear Me Dreaming? (Deluxe)","Electronic Daily","Playlist","GBBPW2501891","1824524021"
"QQQQ (Nick León Apocalypto Mix)","Ela Minus & Nick León","QQQQ (REMIXES)","Electronic Daily","Playlist","GBCEL2500030","1822977008"
"Still The Same (feat. CASISDEAD) [Special Request Remix]","Rufige Kru, Goldie & Submotive","Still The Same (feat. CASISDEAD) [Special Request Remix] - Single","Electronic Daily","Playlist","GBAAP2500380","1826742803"
"DEEP SIDE (feat. Eartheater)","araabMUZIK","Electronic Dream 2","Electronic Daily","Playlist","QM6MZ2548326","1833509610"
"Play Me","Fcukers","Play Me - Single","Electronic Daily","Playlist","GBCFB2500364","1824648561"
"Rapture in Blue","Daniel Avery & Cecile Believe","Tremor","Electronic Daily","Playlist","GBCEL2500320","1823019438"
"Tom's Tweaks","Hodge","Tom's Tweaks / Let You Know - Single","Electronic Daily","Playlist","UKW3K2500038","1822572736"
"Iris","Olof Dreijer","Iris - Single","Electronic Daily","Playlist","NLTH62500067","1824592488"
"Clap Your Hands","Daphni","Clap Your Hands - Single","Electronic Daily","Playlist","FRIDO2599625","1820469858"
"Frostbite","Batu","Frostbite - Single","Electronic Daily","Playlist","FRX452532030","1820888505"
"Heartbeats (Logic1000 Remix)","José González","Heartbeats (Logic1000 Remix) - Single","Electronic Daily","Playlist","SENAA2500102","1821563396"
"Paradigm","Guedra Guedra","MUTANT","Electronic Daily","Playlist","GBCEL2500156","1812711172"
"Mothertime","Call Super","Mothertime - Single","Electronic Daily","Playlist","NLTH62500055","1818510790"
"Follow The Jaguar (Rolando Remix)","Artf","Follow The Jaguar - Single","Electronic Daily","Playlist","UK78T2400058","1812382145"
"i couldn't hold back (feat. George Riley)","Logic1000","i couldn't hold back (feat. George Riley) - Single","Electronic Daily","Playlist","GBMVH2500530","1815705065"
"Lippy","Joy Orbison, Overmono & Skiifall","Lippy - Single","Electronic Daily","Playlist","GBBKS2500169","1815709882"
"D.A.N.C.E","Peggy Gou","F1 The Album","Electronic Daily","Playlist","USAT22503088","1810796712"
"Into Dust (Still Falling)","Four Tet","Into Dust (Still Falling) - Single","Electronic Daily","Playlist","GBBKS2500082","1814421480"
