Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Yfpc5zHc9pElVCQ1bPlF4,"This Love","Vulgar Display of Power","Pantera",1992-02-21,393706,71,true,saph.waffle,2025-09-27T13:39:36Z,"groove metal,metal,thrash metal,heavy metal","Atlantic Records",0.402,0.73,6,-9.327,1,0.0455,0.000312,0.323,0.103,0.296,104.527,4
spotify:track:1wlKw9NAWVWpx7OIAyg9EA,"Fell On Black Days","Superunknown (Deluxe Edition)","Soundgarden",1994-03-09,283026,70,false,saph.waffle,2025-09-27T13:40:02Z,"grunge,post-grunge,hard rock","Geffen",0.574,0.739,4,-5.745,0,0.0271,0.00152,0.000328,0.141,0.514,101.069,3
spotify:track:2bdUkiK4p2wuaqzcBLm1zc,"4th Of July","Superunknown (Deluxe Edition)","Soundgarden",1994-03-09,308866,57,false,saph.waffle,2025-09-27T13:40:23Z,"grunge,post-grunge,hard rock","Geffen",0.355,0.754,5,-5.692,0,0.0378,0.118,0.000936,0.175,0.201,142.203,4
spotify:track:7tvuLLroI0n6uYBWuFig5d,"Lateralus","Lateralus","TOOL",2001-05-15,564538,66,false,saph.waffle,2025-09-27T13:41:59Z,"progressive metal,alternative metal,progressive rock,metal","RCA Records Label",0.387,0.677,0,-8.399,1,0.084,0.00108,0.871,0.101,0.371,172.812,3
spotify:track:4vJr55lngvhSM8WIh9CjQc,"Cemetery Gates","Cowboys from Hell","Pantera",1990-07-20,422933,70,true,saph.waffle,2025-09-27T13:43:06Z,"groove metal,metal,thrash metal,heavy metal","Rhino",0.274,0.726,9,-11.541,1,0.0449,0.000212,0.0113,0.0993,0.426,146.449,4
spotify:track:5hxcxipGOjgTzrPOkfsyyS,"Xerces","Saturday Night Wrist","Deftones",2006-10-25,221800,67,false,saph.waffle,2025-09-27T13:43:09Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Maverick",0.547,0.736,7,-5.267,0,0.0346,0.000598,0.25,0.469,0.252,120.041,4
spotify:track:4reyAmWUdNFX6F70rX3ZoS,"Scream of the Butterfly","When the Kite String Pops","Acid Bath",1994,374533,56,false,saph.waffle,2025-09-27T13:43:39Z,"sludge metal,stoner metal,doom metal,drone metal","Rotten Records",0.42,0.683,10,-7.168,0,0.059,0.136,0.00624,0.109,0.598,142.628,4
spotify:track:0wvIGFIgbyz4JNwQhZgTv2,"Rooster (2022 Remaster)","Dirt (2022 Remaster)","Alice In Chains",1992-09-29,374333,75,false,saph.waffle,2025-09-27T13:43:41Z,"grunge,post-grunge","Columbia",0.263,0.562,3,-7.858,1,0.0273,0.0289,0.00118,0.12,0.213,146.08,3
spotify:track:2EoOZnxNgtmZaD8uUmz2nD,"Black Hole Sun","Superunknown (Deluxe Edition)","Soundgarden",1994-03-09,318586,81,false,saph.waffle,2025-09-27T13:43:43Z,"grunge,post-grunge,hard rock","Geffen",0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,4
spotify:track:5VNMlLgQdpo2ksrYzD9ANy,"Nobody Like You","Significant Other","Limp Bizkit",1999,260105,63,true,saph.waffle,2025-09-27T13:43:51Z,"nu metal,rap metal,alternative metal,rap rock","Interscope",0.376,0.839,6,-6.426,1,0.0444,0.00182,0.0162,0.153,0.348,94.758,4
spotify:track:4hAPiyiwGAlIKP53qfmDuN,"Closet","We're Not Here to Be Loved","Fleshwater",2022-11-04,122265,59,false,saph.waffle,2025-09-27T13:44:31Z,"shoegaze","Closed Casket Activities",0.269,0.931,11,-3.453,1,0.0905,0.0000339,0.0184,0.409,0.386,108.984,4
spotify:track:0rFdjHoldrbHIBeUIjxi5a,"The Razor's Apple","We're Not Here to Be Loved","Fleshwater",2022-11-04,191236,57,false,saph.waffle,2025-09-27T13:44:45Z,"shoegaze","Closed Casket Activities",0.336,0.943,1,-3.46,0,0.0892,0.00000361,0.0149,0.317,0.394,73.604,4
spotify:track:0l3L3E5T1Jvv7prfE9tdR7,"Drowning Song","2000: In Search Of The Endless Sky","Fleshwater",2025-09-05,132986,43,false,saph.waffle,2025-09-27T13:48:31Z,"shoegaze","Closed Casket Activities",0.2,0.921,0,-3.221,1,0.11,0.0000775,0.00337,0.64,0.079,124.594,4
spotify:track:7fezQws2k5Fy98X4UScIbH,"Poor Aileen","Ours Is Chrome","Superheaven",2015-05-04,267284,64,false,saph.waffle,2025-10-02T10:48:17Z,"shoegaze,post-grunge","SideOneDummy Records",0.443,0.87,1,-5.577,1,0.0367,0.0000503,0.0000704,0.675,0.312,137.999,4
spotify:track:51c94ac31swyDQj9B3Lzs3,"Change (In the House of Flies)","White Pony","Deftones",2000,299533,82,false,saph.waffle,2025-10-02T10:48:20Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Rhino",0.269,0.853,7,-4.647,0,0.0854,0.000249,0.000246,0.118,0.179,141.581,4
spotify:track:5O8L4I2S4izFGDjvP7xAKv,"You Know You're Right","Nirvana","Nirvana",2002-10-29,217000,70,false,saph.waffle,2025-10-02T10:48:42Z,"grunge,rock","Geffen",0.289,0.716,5,-6.53,0,0.106,0.0407,0.00123,0.135,0.344,168.049,4
spotify:track:7IoK6jZBxY7NMoQPoPXZCF,"Passenger","White Pony","Deftones",2000,368666,70,false,saph.waffle,2025-10-15T19:48:56Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Rhino",0.345,0.797,0,-6.152,1,0.0551,0.00188,0.0668,0.145,0.223,117.987,4
spotify:track:3tQ6LmYZeoJ4dwkZ3IGoSj,"The Clincher","This Type Of Thinking (Could Do Us In)","Chevelle",2004-09-21,223773,60,false,saph.waffle,2025-10-15T19:51:20Z,"alternative metal,nu metal,post-grunge","Epic",0.263,0.939,1,-4.648,1,0.0834,0.0000766,0.000364,0.374,0.408,175.293,4
spotify:track:6UzeOH4bRPzKTo2wCXMZmC,"By Myself","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,189800,69,false,saph.waffle,2025-10-28T15:18:47Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.544,0.935,6,-4.159,0,0.173,0.0171,0.00301,0.297,0.339,103.026,4
spotify:track:286ek1kspX7VFaheXFSvPk,"Make Me Bad","Issues","Korn",1999-11-09,235613,65,true,saph.waffle,2025-11-26T23:45:04Z,"nu metal,metal,rap metal,alternative metal","Epic/Immortal",0.531,0.793,11,-6.889,0,0.0496,0.000192,0.0241,0.229,0.417,110.003,4
