Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3rfhI32Il2hVRKDkuGeeen,"Hey Baby (Drop It to the Floor) (feat. T-Pain)","Planet Pit (Deluxe Version)","Pitbull;T-Pain",2011-06-17,234453,81,false,1228449881,2025-10-01T15:02:23Z,"","Mr.305/Polo Grounds Music/J Records",0.595,0.912,10,-3.428,0,0.0884,0.0434,0,0.259,0.762,128.024,4
spotify:track:1RGIjMFMgJxkZHMDXVYzOJ,"Bartender (feat. Akon)","Epiphany (Expanded Edition)","T-Pain;Akon",2007-06-05,238800,75,true,1228449881,2025-10-01T15:02:28Z,"","Jive/Legacy",0.832,0.391,8,-8.504,1,0.0628,0.0564,0,0.224,0.436,104.961,4
spotify:track:6QgkOxBXqVRjZ1JcIDbDYY,"Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy)","Happy Hour: The Greatest Hits","T-Pain;Joey Galaxy",2014,235306,68,false,1228449881,2025-10-01T15:02:35Z,"","Nappy Boy/Konvict Muzik/RCA Records",0.786,0.689,1,-6.113,1,0.315,0.00931,0.00000114,0.214,0.874,157.936,4
spotify:track:1QFWH5PC7GadXlqR9xuJFp,"TOXIC","TOXIC","Dreezy;T-Pain",2025-06-27,166956,32,true,1228449881,2025-10-01T15:02:50Z,"","TEN57 Music",0.514,0.666,11,-6.603,0,0.416,0.587,0,0.249,0.396,138.026,4
spotify:track:6wb61u8ayuanWSHZzle5od,"I Want U","Run","Alison Wonderland",2015-03-17,210017,52,false,1228449881,2025-10-01T15:03:10Z,"edm trap,future bass,edm","EMI Recorded Music Australia Pty Ltd",0.606,0.829,1,-3.455,0,0.036,0.00172,0.0000543,0.276,0.384,140.033,4
spotify:track:0oTcCcZJoGxwyHmrtRWWbj,"PSYCHO","PSYCHO","Alison Wonderland;Erick the Architect;QUIX;MEMBA",2025-08-29,196906,44,false,1228449881,2025-10-01T15:03:15Z,"edm trap,future bass,edm,dubstep","EMI Recorded Music Australia Pty Ltd",0.549,0.939,2,-1.725,1,0.0385,0.00528,0.0426,0.487,0.368,147.997,4
spotify:track:3tHCG0ISOA0pXscIdNrJml,"Satellite","Satellite","Dimension;Alison Wonderland",2024-04-18,205116,46,false,1228449881,2025-10-01T15:03:21Z,"drum and bass,liquid funk,edm trap,future bass,edm","Dimension",0.51,0.961,8,-1.912,0,0.0562,0.137,0.00413,0.619,0.169,171.948,4
spotify:track:2iHtOWx257QVfwWcp8ZF7X,"Again? Fuck.","Again? Fuck.","Alison Wonderland",2025-06-26,172901,46,true,1228449881,2025-10-01T15:03:32Z,"edm trap,future bass,edm","EMI Recorded Music Australia Pty Ltd",0.537,0.947,5,-3.473,0,0.0528,0.00129,0.102,0.344,0.693,170.052,4
spotify:track:48fPdAwGVoSkGK8GSez9yx,"Anything","Anything","Alison Wonderland;Valentino Khan",2020-11-13,226000,45,false,1228449881,2025-10-01T15:03:40Z,"edm trap,future bass,edm,bass house,moombahton,g-house","Mad Decent",0.768,0.908,5,-5.014,0,0.0486,0.184,0.546,0.0583,0.423,120.042,4
spotify:track:1emg6SxU29kTcuSTXLjlfi,"Good Times Roll","Good Will Prevail","GRiZ;Big Gigantic",2016-09-23,244828,48,false,1228449881,2025-10-01T15:04:39Z,"dubstep,edm","GRiZ LLC",0.677,0.874,1,-5.445,1,0.129,0.0219,0.00738,0.973,0.58,100.012,4
spotify:track:3bdoIxABSVgqV4LAq4B34l,"Til The Sun Come Up","Til The Sun Come Up","Gramatik;Big Gigantic;ProbCause",2025-08-29,268085,33,false,1228449881,2025-10-01T15:04:46Z,"electro swing,trip hop,nu jazz,downtempo","Lowtemp",0.486,0.832,10,-3.93,0,0.369,0.0313,0.00000111,0.261,0.621,94.035,4
spotify:track:6bC7spF0E7vVSFVN7DQ7dD,"The Little Things (feat. Angela McCluskey) - Kasbo Remix","Brighter Future (Deluxe Version)","Big Gigantic;Kasbo;Angela McCluskey",2017-08-30,183893,49,false,1228449881,2025-10-01T15:04:52Z,"future bass","Big Gigantic",0.483,0.58,10,-5.677,1,0.0442,0.222,0.00000232,0.0946,0.208,85.221,4
