Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0C82lh2meFUjXV0AJxlxNZ,"LV STEPPERS","LV STEPPERS","YNG Martyr",2024-10-04,114857,56,true,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"","YNG Martyr",0.765,0.677,3,-5.527,0,0.0696,0.143,0.000182,0.179,0.393,139.988,4
spotify:track:5jStSgdnoqqIrykKRLh6Mb,"BURR","BURR","YNG Martyr",2024-11-27,157600,55,true,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"","YNG Martyr",0.7,0.76,11,-5.881,1,0.224,0.00668,0.000138,0.132,0.383,149.98,4
spotify:track:2reVKsIzoXaIQGwDIIYlJi,"Ease Off","Ease Off","YNG Martyr",2020-08-28,143034,55,true,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"","YNG Martyr",0.736,0.458,8,-11.403,1,0.0485,0.0822,0,0.121,0.766,135.039,4
spotify:track:3ekLXHhFW8qI6FZDE6Xx9l,"One Last Breath - Remix","One Last Breath (ATLiens Remix)","ATLiens",2025-05-23,177777,64,false,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"riddim,dubstep,deathstep,bass music,edm","Craft Recordings",0.695,0.585,2,-6.839,1,0.025,0.052,0.000966,0.116,0.0792,134.999,4
spotify:track:6KTJrH8rLM4TefZcc9XFQF,"Black Sheep","Black Sheep","ATLiens;GG Magree",2024-09-18,174428,51,false,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"riddim,dubstep,deathstep,bass music,edm,future bass","Monstercat",0.316,0.887,5,-1.85,0,0.0728,0.0382,0.0108,0.102,0.165,140.055,4
spotify:track:0xTV7zNJDDRmqOtwHiiKfL,"Fading Out","Ghost Planet","ATLiens;Sara Skinner",2019-07-24,192000,48,false,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"riddim,dubstep,deathstep,bass music,edm","Bassrush Records",0.516,0.727,8,-3.328,0,0.0728,0.0147,0.000165,0.164,0.204,134.994,4
spotify:track:0DzPnTBSmVRKBQAmH3EomR,"Million Days","Million Days","SABAI;Hoang;Olivia Ridgely",2020-02-11,208551,59,false,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"melodic bass,future bass,edm","Monstercat",0.514,0.648,0,-5.456,1,0.0482,0.27,0,0.14,0.0816,144.942,4
spotify:track:2ktaGvlb0uE3tUQXy2oXoo,"Scared","Scared","SABAI;Olivia Ridgely",2021-08-20,170000,49,false,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"melodic bass,future bass,edm","Monstercat",0.712,0.798,11,-4.635,0,0.0392,0.00604,0.00000532,0.111,0.488,125.942,4
spotify:track:1hnCdU2BvDF1ybrKMnwLvO,"Free","Free","SABAI;Miles Away;ANDe;Shannon",2025-11-05,233194,49,false,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"melodic bass,future bass,edm,freestyle","IKIGAI MUSIC",0.568,0.76,10,-6.511,0,0.0571,0.0331,0,0.0994,0.383,144.839,4
spotify:track:2kNyfa6BF1WZYDIXKGIHIS,"Trampoline (Jauz Remix)","Melt (Deluxe)","SHAED;Jauz",2019-12-27,236170,59,false,x22qy6jawnyenv1dtzrpfauql,2026-02-17T10:06:39Z,"bass house,edm,future house,dubstep,electro house","Photo Finish Records",0.464,0.599,7,-6.829,0,0.041,0.165,0.000968,0.0669,0.117,126.544,4
